id,artist,date_live,doors_time,location,address,genres,status,new,url,buy_link,image,date_created
40575,Charles Doré,2026-03-27,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Chanson Française; Pop,Buy Now,,https://www.atelier.lu/shows/charles-dore/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=924630657773&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14249/image.68e4c4aeed2c3.320.jpg,2026-02-17T13:33:10.454565+00:00
39981,Protoje,2026-03-28,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Reggae / Dancehall,Buy Now,,https://www.atelier.lu/shows/protoje/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=344191137379&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14210/image.686cdb0464456.320.jpg,2026-02-17T13:33:10.454565+00:00
40247,Sprints,2026-03-29,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Punk,Buy Now,,https://www.atelier.lu/shows/sprints-2/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=261601125416&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14220/image.689c4e2260a9d.320.jpg,2026-02-17T13:33:10.454565+00:00
40615,Poppy,2026-04-01,6:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Pop; Rock,Buy Now,,https://www.atelier.lu/shows/poppy/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=582993166360&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14252/image.68e79a29ea301.320.jpg,2026-02-17T13:33:10.454565+00:00
39666,Mobb Deep,2026-04-08,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Hip Hop,Buy Now,,https://www.atelier.lu/shows/mobb-deep/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=275468857860&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14205/image.685aac872f8bb.320.jpg,2026-02-17T13:33:10.454565+00:00
39439,Franz Ferdinand,2026-04-10,7:00 pm,Rockhal,"5 avenue du Rock'n'Roll, L-4361 Esch/Alzette",Alternative Rock; Indie,Buy Now,,https://www.atelier.lu/shows/franz-ferdinand-3/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=719150906915&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14193/image.684fd1e4cef09.320.jpg,2026-02-17T13:33:10.454565+00:00
40254,Dirty Dancing,2026-04-10,7:00 pm,Trifolion Echternach,"2 Porte Sainte Willibrord, 6468 Echternach",Film,Buy Now,,https://www.atelier.lu/shows/dirty-dancing-3/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=661394586214&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14222/image.68a2f212b9b5a.320.jpg,2026-02-17T13:33:10.454565+00:00
41398,Kiefer Sutherland,2026-04-14,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Folk,Buy Now,,https://www.atelier.lu/shows/kiefer-sutherland/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=536578292638&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14308/image.6970f6500a742.320.jpg,2026-02-17T13:33:10.454565+00:00
40456,Dekker,2026-04-23,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Singer-Songwriter,Buy Now,,https://www.atelier.lu/shows/dekker/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=444118652327&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14242/image.68ecad0a45892.320.jpg,2026-02-17T13:33:10.454565+00:00
41027,Bénabar,2026-04-24,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Chanson Française; Singer-Songwriter,Buy Now,,https://www.atelier.lu/shows/benabar/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=166863442955&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14288/image.69246986d4e47.320.jpg,2026-02-17T13:33:10.454565+00:00
40390,Alvaro Soler,2026-04-26,6:30 pm,GRIDX,"4-6 Rue des Trois Cantons, 3980 Wickrange-sur-Mess",Pop,Buy Now,,https://www.atelier.lu/shows/alvaro-soler-4/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=150878131902&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14238/image.68c3f78fc1b88.320.jpg,2026-02-17T13:33:10.454565+00:00
40339,Jools Holland and his Rhythm & Blues Orchestra,2026-04-26,7:00 pm,Opderschmelz,"1a Rue du Centenaire, 3475 Dudelange",Blues Rock; Jazz,Buy Now,,https://www.atelier.lu/shows/jools-holland-and-his-rhythm-blues-orchestra/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=881878515868&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14235/image.68b85f5db51bd.320.jpg,2026-02-17T13:33:10.454565+00:00
40322,Joe Bonamassa,2026-04-27,7:00 pm,Rockhal,"5 avenue du Rock'n'Roll, L-4361 Esch/Alzette",Blues Rock,Buy Now,,https://www.atelier.lu/shows/joe-bonamassa-5/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=256669235755&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14233/image.68b6c5434c208.320.jpg,2026-02-17T13:33:10.454565+00:00
41062,Michael Patrick Kelly,2026-04-30,7:00 pm,Rockhal,"5 avenue du Rock'n'Roll, L-4361 Esch/Alzette",Pop,Buy Now,,https://www.atelier.lu/shows/michael-patrick-kelly-2/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=648745186931&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14291/image.6931bc8fe2257.320.jpg,2026-02-17T13:33:10.454565+00:00
39352,Kasalla,2026-05-05,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",,Buy Now,,https://www.atelier.lu/shows/kasalla-3/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=282788886516&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14188/image.683edac622fb3.320.jpg,2026-02-17T13:33:10.454565+00:00
39931,Sarah Connor,2026-05-07,7:00 pm,Rockhal,"5 avenue du Rock'n'Roll, L-4361 Esch/Alzette",Pop,Buy Now,,https://www.atelier.lu/shows/sarah-connor/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=852027619294&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14209/image.686ccbe42ff02.320.jpg,2026-02-17T13:33:10.454565+00:00
40540,Sofia Isella,2026-05-08,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Singer-Songwriter,Buy Now,,https://www.atelier.lu/shows/sofia-isella/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=798777511708&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14246/image.68de75d7324a4.320.jpg,2026-02-17T13:33:10.454565+00:00
